100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:102314486331710415915
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:107965826228461029730
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:109599220524260072765
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:113612142759476883204
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:114202150062599138446
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:112072934052683456906
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:108380180393712839855
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:111805096810507999673
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:102476152658204495450
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:104542524024401372520
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:108794547410659924647
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:107396071545853144281
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:104484219049883711215
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:118207880179234484610
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:110286587261352351537
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:100852036474143402737
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:112226108704688540728
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:110378953230340021029
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:104808196767244382094
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:115565811010545226083
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:102697250952572084443
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:100834378485895409468
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:107140884077582692033
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:110328255737860258925
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:103618543375127073102
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:107602882044753150398
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:104287485784305992668
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:102923147893327767382
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:110157457788277930820
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:116381448202717889304
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:113897594280127224121
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:111935860955005881764
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:103493459351957813291
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:102723327552511533009
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:110962757807658491540
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:102533732658641069172
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:110012123643219804319
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:116131244044857846351
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:103298930481646016759
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:115176155345443475500
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:108244336002148538964
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:109449925000760117344
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:114803894551548417361
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:107585222434679667089
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:112707199408484711520
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:107968787521028284191
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:106752261083710991939
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:101347453976804822388
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:102588316189205436643
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:112326867483489579883
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:101111725148957537937
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:107420422968461975442
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:103863431939193472992
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:105111395535801370400
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:113102862520765968586
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:115843642983912275977
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:105912966310368032981
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:115242081056296652095
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:105112145204464229145
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:103100496883422151101
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:117935797319364093334
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:101947839855763461612
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:110599345010798430538
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:117198316664830078863
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:106792630639449031994
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:104895617958403173354
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:111601729473858041964
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:118254993345625377660
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:111714769899525603342
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:103135699585421857716
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:103325969492772452485
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:116170685268890575820
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:118122556596388698587
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:100239357383983715731
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:107047796519061210494
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:102774783758711593873
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:116992221479414639679
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:113391812624898456365
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:113730584538102370504
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:112985314220199427688
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:107578121095872065071
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:116527642554002684241
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:113141491911286106535
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:113801236315350503728
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:118318213809653103083
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:103215942819389290767
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:108160025029986978317
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:105003815787753077507
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:117550971892000156946
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:104422229596606767516
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:109432479415070880304
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:113988408036835443814
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:111052763823393209492
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:116727951144543307899
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:105931402039205614444
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:100262595546646927505
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:102014620469584519426
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:117344752225183656923
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:107133948555394893679
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:104970540468332256112
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:111003585222709735706
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:116491671324535118714
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:110824898394331651902
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:116802117190197146689
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:105787739041016213141
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:107179219017404092823
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:110882715753205711002
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:109881061612128946254
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:107859883210772105439
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:106665185918564754695
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:115695578304416858659
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:102907221000300969164
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:106154669044284257296
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:100518419853963396365
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:106912596786226524817
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:108358115457111669490
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:105108491910465347210
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:103474525843041529010
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:109281549681690179604
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:112941702698394735219
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:113186623583029971455
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:110345156976813195439
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:107785854520006194329
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:102976465024742837897
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:102350293699241694221
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:117696816418408972456
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:115873428613023435238
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:107992936493665613654
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:103953720865548372079
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:114599477429382362595
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:117841284165024027243
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:110098813532802580499
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:110795881632600297278
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:104684807777872230721
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:116318460401071551390
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:109957883025402319418
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:111183481549738840665
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:102831333897711467495
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:101785586318368575634
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:107743694238177203555
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:107531155995244310236
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:108771911258181286059
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:110063951787755558718
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:106996339781476519138
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:113702025113619010080
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:111269553014416120850
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:109688735436178937133
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:107699124992200963809
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:111539945821979928707
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:106967325646926628873
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:102359146417117521326
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:109299348960895456083
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:112033436318399326158
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:106091946617921716397
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:105981099469095329298
100535338638690515335 :percentage:0.429447852760736 ,percentage_circle:0.993914807302231 intersect_id:100446424597147316863
100535338638690515335 :percentage:0.17703768624014 ,percentage_circle:0.990196078431373 intersect_id:109719643480874142756
100535338638690515335 :percentage:0.0455740578439965 ,percentage_circle:1 intersect_id:117563338475550787036
100535338638690515335 :percentage:0.21384750219106 ,percentage_circle:0.995918367346939 intersect_id:102890316830251522924
=================
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:115458614518105184933
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:115458614518105184933
100535338638690515335 :percentage:0.0833333333333333 ,percentage_circle:0.00405679513184584 intersect_id:115458614518105184933
100535338638690515335 :percentage:0.0416666666666667 ,percentage_circle:0.00490196078431373 intersect_id:115458614518105184933
=================
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:116785232980003784802
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:116785232980003784802
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:116785232980003784802
100535338638690515335 :percentage:0.0555555555555556 ,percentage_circle:0.00490196078431373 intersect_id:116785232980003784802
=================
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:
100535338638690515335 :percentage:0.2 ,percentage_circle:0.00408163265306122 intersect_id:
100535338638690515335 :percentage:0.2 ,percentage_circle:0.00202839756592292 intersect_id:
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:
=================
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:101828183984777718546
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:114229157887417365950
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:113097851206100618060
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:100472608497932134515
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:115204805503581947511
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:105237212888595777019
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:105318217552727882571
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:104541959256591361052
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:109596219054914376350
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:106289562822644692555
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:106719979779567208605
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:118007019733262675418
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:113455290791279442483
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:117783113906561198831
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:107459220492917008623
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:116369071500456395369
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:115105647022907007398
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:108705174211639807508
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:101957725892036154972
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:109187026428012507334
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:109330684746468207713
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:113367609333589754250
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:112957708071337353347
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:102373191596205712937
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:116799045993451756042
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:117757565120070816446
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:110937022523802941285
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:116119893029262153595
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:107543460658107759808
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:104537447334620653857
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:117513232055994920961
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:113158814439512755352
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:103486150650858067282
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:111518627657059019573
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:101500353301932666956
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:105571367382401829756
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:108091894326051748899
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:104877931759093166358
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:104618664838382110366
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:110492963926129353210
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:114536133164105123829
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:114786794106113206036
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:115530110837680463513
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:101145980349117737014
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:107766165864677063802
100962871525684315897 :percentage:0.427289048473968 ,percentage_circle:1 intersect_id:112869004210157355587
100962871525684315897 :percentage:0.210053859964093 ,percentage_circle:1 intersect_id:116416802056155856242
100962871525684315897 :percentage:0.0861759425493716 ,percentage_circle:1 intersect_id:111422286077941361166
=================
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
=================
101130571432010257170 :percentage:0.0451242829827916 ,percentage_circle:1 intersect_id:104931672265303230489
101130571432010257170 :percentage:0.0952198852772467 ,percentage_circle:1 intersect_id:117942605302461709656
101130571432010257170 :percentage:0.102485659655832 ,percentage_circle:1 intersect_id:114835618008913240560
101130571432010257170 :percentage:0.0401529636711281 ,percentage_circle:1 intersect_id:116056087197334542344
101130571432010257170 :percentage:0.0451242829827916 ,percentage_circle:1 intersect_id:115712956701502499789
101130571432010257170 :percentage:0.0952198852772467 ,percentage_circle:1 intersect_id:105390077271236874234
101130571432010257170 :percentage:0.102485659655832 ,percentage_circle:1 intersect_id:110873294608206408076
101130571432010257170 :percentage:0.0401529636711281 ,percentage_circle:1 intersect_id:100955790940479209019
101130571432010257170 :percentage:0.0451242829827916 ,percentage_circle:1 intersect_id:103700409466770985134
101130571432010257170 :percentage:0.0952198852772467 ,percentage_circle:1 intersect_id:102132729483159543573
101130571432010257170 :percentage:0.102485659655832 ,percentage_circle:1 intersect_id:107566737427662380385
101130571432010257170 :percentage:0.0401529636711281 ,percentage_circle:1 intersect_id:111192490533881933800
101130571432010257170 :percentage:0.0451242829827916 ,percentage_circle:1 intersect_id:115389600834458166596
101130571432010257170 :percentage:0.0952198852772467 ,percentage_circle:1 intersect_id:105547060999578080024
101130571432010257170 :percentage:0.102485659655832 ,percentage_circle:1 intersect_id:101346514804541774366
101130571432010257170 :percentage:0.0401529636711281 ,percentage_circle:1 intersect_id:105040001333571511595
101130571432010257170 :percentage:0.0451242829827916 ,percentage_circle:1 intersect_id:105873814765821560444
101130571432010257170 :percentage:0.0952198852772467 ,percentage_circle:1 intersect_id:111718830236077991058
