100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:116785232980003784802
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:102600774742322762226
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:108159551615224338529
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:103233967921245494760
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:113612142759476883204
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:114202150062599138446
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:112072934052683456906
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:108380180393712839855
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:102476152658204495450
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:104484219049883711215
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:118207880179234484610
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:110286587261352351537
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:100852036474143402737
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:110378953230340021029
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:115565811010545226083
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:107140884077582692033
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:110328255737860258925
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:103618543375127073102
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:107602882044753150398
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:104287485784305992668
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:102923147893327767382
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:102533732658641069172
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:116131244044857846351
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:115176155345443475500
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:114803894551548417361
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:112707199408484711520
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:106752261083710991939
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:101347453976804822388
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:101111725148957537937
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:107420422968461975442
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:113102862520765968586
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:115843642983912275977
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:117935797319364093334
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:106792630639449031994
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:104895617958403173354
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:118254993345625377660
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:118122556596388698587
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:100239357383983715731
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:107047796519061210494
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:102774783758711593873
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:116992221479414639679
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:116527642554002684241
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:113141491911286106535
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:108160025029986978317
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:105003815787753077507
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:109432479415070880304
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:116727951144543307899
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:111003585222709735706
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:110824898394331651902
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:110882715753205711002
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:106665185918564754695
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:115695578304416858659
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:106154669044284257296
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:106912596786226524817
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:113186623583029971455
100535338638690515335 :percentage:0.0248538011695906 ,percentage_circle:0.326923076923077 intersect_id:117696816418408972456
100535338638690515335 :percentage:0.326023391812865 ,percentage_circle:0.910204081632653 intersect_id:117841284165024027243
100535338638690515335 :percentage:0.568713450292398 ,percentage_circle:0.789046653144016 intersect_id:112033436318399326158
100535338638690515335 :percentage:0.0994152046783626 ,percentage_circle:0.333333333333333 intersect_id:100446424597147316863
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:109147099159025717832
100535338638690515335 :percentage:0.146551724137931 ,percentage_circle:0.0693877551020408 intersect_id:109599220524260072765
100535338638690515335 :percentage:0.810344827586207 ,percentage_circle:0.190669371196755 intersect_id:109147099159025717832
100535338638690515335 :percentage:0.0172413793103448 ,percentage_circle:0.00980392156862745 intersect_id:109599220524260072765
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:
100535338638690515335 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0.00769230769230769 ,percentage_circle:0.00420168067226891 intersect_id:110937022523802941285
100962871525684315897 :percentage:0.0307692307692308 ,percentage_circle:0.0341880341880342 intersect_id:104537447334620653857
100962871525684315897 :percentage:0.0538461538461538 ,percentage_circle:0.145833333333333 intersect_id:101500353301932666956
100962871525684315897 :percentage:0.00769230769230769 ,percentage_circle:0.00420168067226891 intersect_id:108091894326051748899
100962871525684315897 :percentage:0.0307692307692308 ,percentage_circle:0.0341880341880342 intersect_id:104877931759093166358
100962871525684315897 :percentage:0.0538461538461538 ,percentage_circle:0.145833333333333 intersect_id:107766165864677063802
100962871525684315897 :percentage:0.00769230769230769 ,percentage_circle:0.00420168067226891 intersect_id:116416802056155856242
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0 ,percentage_circle:0 intersect_id:
100962871525684315897 :percentage:0.333333333333333 ,percentage_circle:0.0882352941176471 intersect_id:113097851206100618060
100962871525684315897 :percentage:0.285714285714286 ,percentage_circle:0.153846153846154 intersect_id:104541959256591361052
100962871525684315897 :percentage:0.111111111111111 ,percentage_circle:0.145833333333333 intersect_id:118007019733262675418
100962871525684315897 :percentage:0.333333333333333 ,percentage_circle:0.0882352941176471 intersect_id:101957725892036154972
100962871525684315897 :percentage:0.285714285714286 ,percentage_circle:0.153846153846154 intersect_id:116119893029262153595
100962871525684315897 :percentage:0.111111111111111 ,percentage_circle:0.145833333333333 intersect_id:115530110837680463513
100962871525684315897 :percentage:0.333333333333333 ,percentage_circle:0.0882352941176471 intersect_id:111422286077941361166
100962871525684315897 :percentage:0.73469387755102 ,percentage_circle:0.907563025210084 intersect_id:101828183984777718546
100962871525684315897 :percentage:0.32312925170068 ,percentage_circle:0.811965811965812 intersect_id:114229157887417365950
100962871525684315897 :percentage:0.115646258503401 ,percentage_circle:0.708333333333333 intersect_id:100472608497932134515
100962871525684315897 :percentage:0.73469387755102 ,percentage_circle:0.907563025210084 intersect_id:115204805503581947511
100962871525684315897 :percentage:0.32312925170068 ,percentage_circle:0.811965811965812 intersect_id:105237212888595777019
100962871525684315897 :percentage:0.115646258503401 ,percentage_circle:0.708333333333333 intersect_id:105318217552727882571
100962871525684315897 :percentage:0.73469387755102 ,percentage_circle:0.907563025210084 intersect_id:109596219054914376350
100962871525684315897 :percentage:0.32312925170068 ,percentage_circle:0.811965811965812 intersect_id:106289562822644692555
100962871525684315897 :percentage:0.115646258503401 ,percentage_circle:0.708333333333333 intersect_id:106719979779567208605
100962871525684315897 :percentage:0.73469387755102 ,percentage_circle:0.907563025210084 intersect_id:113455290791279442483
100962871525684315897 :percentage:0.32312925170068 ,percentage_circle:0.811965811965812 intersect_id:117783113906561198831
100962871525684315897 :percentage:0.115646258503401 ,percentage_circle:0.708333333333333 intersect_id:107459220492917008623
100962871525684315897 :percentage:0.73469387755102 ,percentage_circle:0.907563025210084 intersect_id:116369071500456395369
100962871525684315897 :percentage:0.32312925170068 ,percentage_circle:0.811965811965812 intersect_id:115105647022907007398
100962871525684315897 :percentage:0.115646258503401 ,percentage_circle:0.708333333333333 intersect_id:108705174211639807508
100962871525684315897 :percentage:0.73469387755102 ,percentage_circle:0.907563025210084 intersect_id:109187026428012507334
100962871525684315897 :percentage:0.32312925170068 ,percentage_circle:0.811965811965812 intersect_id:109330684746468207713
100962871525684315897 :percentage:0.115646258503401 ,percentage_circle:0.708333333333333 intersect_id:113367609333589754250
100962871525684315897 :percentage:0.73469387755102 ,percentage_circle:0.907563025210084 intersect_id:112957708071337353347
100962871525684315897 :percentage:0.32312925170068 ,percentage_circle:0.811965811965812 intersect_id:102373191596205712937
100962871525684315897 :percentage:0.115646258503401 ,percentage_circle:0.708333333333333 intersect_id:116799045993451756042
100962871525684315897 :percentage:0.73469387755102 ,percentage_circle:0.907563025210084 intersect_id:117757565120070816446
100962871525684315897 :percentage:0.32312925170068 ,percentage_circle:0.811965811965812 intersect_id:107543460658107759808
100962871525684315897 :percentage:0.115646258503401 ,percentage_circle:0.708333333333333 intersect_id:117513232055994920961
100962871525684315897 :percentage:0.73469387755102 ,percentage_circle:0.907563025210084 intersect_id:113158814439512755352
100962871525684315897 :percentage:0.32312925170068 ,percentage_circle:0.811965811965812 intersect_id:103486150650858067282
100962871525684315897 :percentage:0.115646258503401 ,percentage_circle:0.708333333333333 intersect_id:111518627657059019573
100962871525684315897 :percentage:0.73469387755102 ,percentage_circle:0.907563025210084 intersect_id:105571367382401829756
100962871525684315897 :percentage:0.32312925170068 ,percentage_circle:0.811965811965812 intersect_id:104618664838382110366
100962871525684315897 :percentage:0.115646258503401 ,percentage_circle:0.708333333333333 intersect_id:110492963926129353210
